#Scan#	SpectrumFile	Annotation	OrigAnnotation	Protein	dbIndex	numMods	matchOrientation	startMass	Charge	MQScore	p-value	isDecoy	StrictEnvelopeScore	UnstrictEvelopeScore	CompoundName	Organism	FileScanUniqueID	FDR	LibraryName	mzErrorPPM	LibMetaData	Smiles	Inchi	LibSearchSharedPeaks	Abundance	ParentMassDiff	SpecMZ	ExactMass	LibrarySpectrumID
148	specs_ms.mgf	*..*		:1	585	-1	0	166.086	1	0.991867	289.851	0	245295.0	194846.0	Phenylalanine_(L-)_30EV M+H	WINE-DB-QTOF	temp/specs_ms.mgf148	-1	WINE-DB-QTOF.mgf	4.59364				6	0	0.000762939	166.087	0	CCMSLIB00013639998
91	specs_ms.mgf	*..*		:2694	2694	-1	0	136.062	1	0.987902	196.719	0	5043220.0	17266.4	Adenine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf91	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	4.1494				7	0	0.000564575	136.061	0	CCMSLIB00006117187
181	specs_ms.mgf	*..*		:69	3551	-1	0	188.073	1	0.981872	435.003	0	7572.0	48819.7	Spectral Match to L-Tryptophan from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/specs_ms.mgf181	-1	GNPS-NIST14-MATCHES.mgf	15.0095				7	0	0.00282288	188.07	0	CCMSLIB00003138038
38	specs_ms.mgf	*..*		:976	118	-1	0	123.045	1	0.967046	201.816	0	468.0	58932.6	Spectral Match to Benzoic acid from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf38	-1	GNPS-NIST14-MATCHES.mgf	16095.4				6	0	1.98045	121.065	0	CCMSLIB00003134604
164	specs_ms.mgf	*..*		:2068	2068	-1	0	182.082	1	0.964854	202.964	0	213.075	24494.9	HMDB:HMDB00158-246 L-Tyrosine M+H	HMDB	temp/specs_ms.mgf164	-1	HMDB.mgf	6.36893				6	0	0.00115967	182.081	0	CCMSLIB00000427096
111	specs_ms.mgf	*..*		:8972	8972	-1	0	146.0	1	0.947767	446.504	0	13698000.0	20686.7	Massbank:KO003170 4-Hydroxyquinoline|Quinolin-4-ol [M+H]+	MASSBANK	temp/specs_ms.mgf111	-1	MASSBANK.mgf	408.016				7	0	0.0595703	146.06	0	CCMSLIB00000218857
94	specs_ms.mgf	*..*		:94	94	-1	0	137.046	1	0.945189	196.24	0	457.408	23886.5	HMDB:HMDB00157-243 Hypoxanthine M+H	HMDB	temp/specs_ms.mgf94	-1	HMDB.mgf	5.12167				7	0	0.000701904	137.045	0	CCMSLIB00000425122
145	specs_ms.mgf	*..*		:354	98	-1	0	166.086	1	0.944979	270.616	0	7781.0	122198.0	Spectral Match to DL-Phenylalanine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf145	-1	GNPS-NIST14-MATCHES.mgf	0.459364				6	0	7.62939e-05	166.086	0	CCMSLIB00003134584
408	specs_ms.mgf	*..*		:25253	43716	-1	0	466.316	1	0.937409	550.831	0	717.105	86780.3	Glycocholic Acid [M+H]+	MONA	temp/specs_ms.mgf408	-1	MONA.mgf	0.850772				22	0	0.000396729	466.316	0	CCMSLIB00004716316
459	specs_ms.mgf	*..*		:2549	2453	-1	0	522.355	1	0.937317	798.376	0	1976950.0	42229.9	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf459	-1	GNPS-NIST14-MATCHES.mgf	0.116846				12	0	6.10352e-05	522.355	0	CCMSLIB00003136940
242	specs_ms.mgf	*..*		:7180	19179	-1	0	268.104	1	0.936481	214.599	0	142065000.0	10551.5	Massbank:EQ330406 Adenosine|(2R,3R,4S,5R)-2-(6-aminopurin-9-yl)-5-(hydroxymethyl)oxolane-3,4-diol M+H	MASSBANK	temp/specs_ms.mgf242	-1	MASSBANK.mgf	3667.06				7	0	0.983154	269.087	0	CCMSLIB00005732731
154	specs_ms.mgf	*..*		:32	32	-1	0	175.058	1	0.932669	151.97	0	7742920.0	13102.0	Xylitol - 40.0 eV M+Na	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf154	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	11233.1				6	0	1.96645	173.092	0	CCMSLIB00006112725
320	specs_ms.mgf	*..*		:35213	35213	-1	0	360.362	1	0.930141	783.423	0	169.315	74857.3	Cetalkonium [M]+	MSNLIB-POSITIVE	temp/specs_ms.mgf320	-1	MSNLIB-POSITIVE.mgf	2.20183				6	0	0.000793457	360.363	0	CCMSLIB00012338206
282	specs_ms.mgf	*..*		:41470	41470	-1	0	304.3	1	0.929151	643.271	0	156.582	39139.9	Benzododecinium [M]+	MSNLIB-POSITIVE	temp/specs_ms.mgf282	-1	MSNLIB-POSITIVE.mgf	0.802302				6	0	0.000244141	304.3	0	CCMSLIB00012350786
407	specs_ms.mgf	*..*		:3982	3982	-1	0	466.316	1	0.927966	552.437	0	748.971	88541.7	Glycocholic acid M+H	MCE-DRUG	temp/specs_ms.mgf407	-1	MCE-DRUG.mgf	2.61776				16	0	0.0012207	466.317	0	CCMSLIB00010133706
278	specs_ms.mgf	*..*		:79876	79876	-1	0	303.137	1	0.927227	206.841	0	139.074	7162.1	401564-30-5 [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf278	-1	MSNLIB-POSITIVE.mgf	3189.91				6	0	0.96698	302.17	0	CCMSLIB00012427940
160	specs_ms.mgf	*..*		:32	32	-1	0	175.058	1	0.926564	143.494	0	7742920.0	7678.8	Xylitol - 40.0 eV M+Na	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf160	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	345.083				6	0	0.0604095	175.118	0	CCMSLIB00006112725
283	specs_ms.mgf	*..*		:13127	13573	-1	0	305.078	1	0.926272	646.589	0	253444.0	75041.2	3,3'-Dimethoxyflavone CollisionEnergy:205060 M+Na	BERKELEY-LAB	temp/specs_ms.mgf283	-1	BERKELEY-LAB.mgf	741.338				7	0	0.226166	305.304	0	CCMSLIB00010115561
301	specs_ms.mgf	*..*		:3137	5378	-1	0	332.331	1	0.926093	713.094	0	142136.0	51058.8	Spectral Match to Benzyltetradecyldimethylammonium from NIST14 Cat	GNPS-NIST14-MATCHES	temp/specs_ms.mgf301	-1	GNPS-NIST14-MATCHES.mgf	1.65292				6	0	0.000549316	332.332	0	CCMSLIB00003139865
284	specs_ms.mgf	*..*		:48179	148618	-1	0	308.165	1	0.925509	364.649	0	115.249	9083.4	AKOS033333909 [M+H-H2O]+	MSNLIB-POSITIVE	temp/specs_ms.mgf284	-1	MSNLIB-POSITIVE.mgf	3179.66				6	0	0.979858	307.185	0	CCMSLIB00012825577
233	specs_ms.mgf	*..*		:1	433	-1	0	261.124	1	0.923645	457.844	0	939934.0	59034.9	cyclo(Phe-4-hydroxy-Pro) M+H	GNPS-LIBRARY	temp/specs_ms.mgf233	-1	GNPS-LIBRARY.mgf	5.14228				10	0	0.00134277	261.123	0	CCMSLIB00000007114
230	specs_ms.mgf	*..*		:2949	65	-1	0	258.279	1	0.921674	634.797	0	51963400.0	10223.7	Myristamine oxide M+H	ECRFS_DB	temp/specs_ms.mgf230	-1	ECRFS_DB.mgf	0.354472				8	0	9.15527e-05	258.279	0	CCMSLIB00012728820
256	specs_ms.mgf	*..*		:713	12289	-1	0	284.099	1	0.920414	222.459	0	215978.0	23552.7	Guanosine M+H	GNPS-LIBRARY	temp/specs_ms.mgf256	-1	GNPS-LIBRARY.mgf	3.75966				6	0	0.00106812	284.098	0	CCMSLIB00010128631
239	specs_ms.mgf	*..*		:96842	197281	-1	0	268.104	1	0.916363	193.952	0	124.068	47835.2	adenosine [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf239	-1	MSNLIB-POSITIVE.mgf	1.02445				7	0	0.000274658	268.104	0	CCMSLIB00013024577
140	specs_ms.mgf	*..*		:128	2694	-1	0	165.055	1	0.906151	207.554	0	19108.0	40118.9	Spectral Match to L-Tyrosine from NIST14 M+H-NH3	GNPS-NIST14-MATCHES	temp/specs_ms.mgf140	-1	GNPS-NIST14-MATCHES.mgf	4.99212				6	0	0.000823975	165.054	0	CCMSLIB00003137181
302	specs_ms.mgf	*..*		:3106	3316	-1	0	332.331	1	0.904505	717.616	0	164692.0	43011.4	Spectral Match to Benzyltetradecyldimethylammonium from NIST14 Cat	GNPS-NIST14-MATCHES	temp/specs_ms.mgf302	-1	GNPS-NIST14-MATCHES.mgf	18.2739				6	0	0.006073	332.337	0	CCMSLIB00003137803
144	specs_ms.mgf	*..*		:116	116	-1	0	166.0	1	0.90271	284.149	0	189.0	433335.0	ReSpect:PM000939 L-Phenylalanine M+H	RESPECT	temp/specs_ms.mgf144	-1	RESPECT.mgf	547.846				6	0	0.0909424	166.091	0	CCMSLIB00000208978
147	specs_ms.mgf	*..*		:1102	1102	-1	0	166.087	1	0.902484	276.385	0	193.749	575860.0	HMDB:HMDB00159-250 L-Phenylalanine M+H	HMDB	temp/specs_ms.mgf147	-1	HMDB.mgf	26.3673				6	0	0.00437927	166.091	0	CCMSLIB00000426130
19	specs_ms.mgf	*..*		:4950	4950	-1	0	118.086	1	0.900989	182.872	0	330320000.0	30090.3	Carboxy-N,N,N-trimethylmethanaminium - 40.0 eV M	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf19	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	1.29218				7	0	0.000152588	118.086	0	CCMSLIB00006121006
202	specs_ms.mgf	*..*		:9495	9495	-1	0	220.0	1	0.897548	337.542	0	15267300.0	4370.3	Massbank:KO003698 Pantothenate|(R)-Pantothenate|Pantothenic acid|D-(+)-Pantothenic acid [M+H]+	MASSBANK	temp/specs_ms.mgf202	-1	MASSBANK.mgf	533.017				7	0	0.117264	220.117	0	CCMSLIB00000219919
219	specs_ms.mgf	*..*		:3519	3519	-1	0	235.119	1	0.897255	156.854	0	233.081	9293.2	Cyclo(-His-Pro) M+H	MCE-DRUG	temp/specs_ms.mgf219	-1	MCE-DRUG.mgf	4.15348				6	0	0.000976562	235.118	0	CCMSLIB00010133243
348	specs_ms.mgf	*..*		:9623	9623	-1	0	415.211	1	0.890981	731.173	0	131.461	7038.5	Trospium M+H	MCE-DRUG	temp/specs_ms.mgf348	-1	MCE-DRUG.mgf	0.367495				6	0	0.000152588	415.211	0	CCMSLIB00010139347
156	specs_ms.mgf	*..*		:45954	45954	-1	0	174.055	1	0.88768	210.607	0	304.666	11915.8	Quinoline-4-carboxylic acid [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf156	-1	MSNLIB-POSITIVE.mgf	4.12032				6	0	0.000717163	174.054	0	CCMSLIB00012359812
629	specs_ms.mgf	*..*		:944	883	-1	0	817.582	1	0.886101	618.32	0	3453660.0	31398.0	(4R)-4-((3R,5S,7S,9S,10S,12S,13R,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid 2M+H	BILELIB19	temp/specs_ms.mgf629	-1	BILELIB19.mgf	0.970492				11	0	0.000793457	817.581	0	CCMSLIB00005465349
634	specs_ms.mgf	*..*		:882	664	-1	0	839.564	1	0.88606	620.489	0	625563.0	42075.1	(4R)-4-((3R,5R,6R,9S,10R,12S,13R,14S,17R)-3,6,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid 2M+Na	BILELIB19	temp/specs_ms.mgf634	-1	BILELIB19.mgf	0.0				6	0	0.0	839.564	0	CCMSLIB00005465130
194	specs_ms.mgf	*..*		:797	9092	-1	0	205.097	1	0.885394	435.814	0	1945680.0	8406.8	D-TRYPTOPHAN - 70.0 eV M+H	GNPS-LIBRARY	temp/specs_ms.mgf194	-1	GNPS-LIBRARY.mgf	1.26476				7	0	0.000259399	205.097	0	CCMSLIB00005883950
436	specs_ms.mgf	*..*		:797	1306	-1	0	498.288	1	0.877845	608.478	0	86460.0	24827.7	2-((R)-4-((3R,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid M-H2O+H	BILELIB19	temp/specs_ms.mgf436	-1	BILELIB19.mgf	0.306224				18	0	0.000152588	498.288	0	CCMSLIB00005465772
356	specs_ms.mgf	*..*		:525	18988	-1	0	426.321	1	0.874554	617.338	0	419.47	43229.3	Cholic Acid [M+NH4]+	MONA	temp/specs_ms.mgf356	-1	MONA.mgf	1.36009				17	0	0.000579834	426.322	0	CCMSLIB00004691588
311	specs_ms.mgf	*..*		:11985	112424	-1	0	352.213	1	0.874546	421.312	0	112.19	12470.4	Z1589946986 [M+H]+	MSNLIB-POSITIVE	temp/specs_ms.mgf311	-1	MSNLIB-POSITIVE.mgf	2843.87				6	0	1.00165	351.211	0	CCMSLIB00012757990
217	specs_ms.mgf	*..*		:26687	46979	-1	0	232.144	1	0.874362	573.341	0	147.221	17459.2	Harmaline [M+NH4]+	MONA	temp/specs_ms.mgf217	-1	MONA.mgf	8168.77				6	0	1.89633	230.248	0	CCMSLIB00004719579
115	specs_ms.mgf	*..*		:142	49383	-1	0	146.165	1	0.870951	115.195	0	156.5	37039.4	SPERMIDINE M+H	MONA	temp/specs_ms.mgf115	-1	MONA.mgf	1.35713				6	0	0.000198364	146.165	0	CCMSLIB00006678412
328	specs_ms.mgf	*..*		:46951	46951	-1	0	373.274	1	0.870919	616.955	0	937.478	49160.2	cholic acid [M+H-2H2O]+	MSNLIB-POSITIVE	temp/specs_ms.mgf328	-1	MSNLIB-POSITIVE.mgf	0.163513				13	0	6.10352e-05	373.274	0	CCMSLIB00012361803
666	specs_ms.mgf	*..*		:880	406	-1	0	953.607	1	0.86887	553.926	0	1060350.0	29031.5	((R)-4-((3R,5S,7S,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoyl)glycine 2M+Na	BILELIB19	temp/specs_ms.mgf666	-1	BILELIB19.mgf	0.960068				9	0	0.000915527	953.606	0	CCMSLIB00005464872
93	specs_ms.mgf	*..*		:863	1309	-1	0	137.046	1	0.866731	213.642	0	122227000.0	15371.7	hypoxanthine CollisionEnergy:102040 M+H	BERKELEY-LAB	temp/specs_ms.mgf93	-1	BERKELEY-LAB.mgf	5.34435				6	0	0.000732422	137.045	0	CCMSLIB00010103297
210	specs_ms.mgf	*..*		:156	1411	-1	0	227.103	1	0.866457	278.483	0	4851150.0	10958.1	Spectral Match to PyroGlu-Pro from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf210	-1	GNPS-NIST14-MATCHES.mgf	4.90479				8	0	0.00111389	227.102	0	CCMSLIB00003135898
248	specs_ms.mgf	*..*		:35474	47473	-1	0	274.274	1	0.8653	540.527	0	15367300.0	6896.6	Massbank:LU030804 Lauryldiethanolamine|2-[dodecyl(2-hydroxyethyl)amino]ethanol M+H	MASSBANK	temp/specs_ms.mgf248	-1	MASSBANK.mgf	0.445067				7	0	0.00012207	274.274	0	CCMSLIB00005761025
49	specs_ms.mgf	*..*		:5859	5859	-1	0	126.066	1	0.8634	230.913	0	29766000.0	8708.0	5-Methylcytosine - 40.0 eV M+H	BIRMINGHAM-UHPLC-MS-POS	temp/specs_ms.mgf49	-1	BIRMINGHAM-UHPLC-MS-POS.mgf	7803.14				6	0	0.983711	127.05	0	CCMSLIB00006122548
460	specs_ms.mgf	*..*		:1281	5310	-1	0	522.356	1	0.86215	798.568	0	68129.0	41186.4	Spectral Match to 1-(9Z-Octadecenoyl)-sn-glycero-3-phosphocholine from NIST14 M+H	GNPS-NIST14-MATCHES	temp/specs_ms.mgf460	-1	GNPS-NIST14-MATCHES.mgf	2.10323				7	0	0.00109863	522.355	0	CCMSLIB00003139797
122	specs_ms.mgf	*..*		:842	842	-1	0	153.041	1	0.858039	155.128	0	261.376	5009.7	HMDB:HMDB00292-496 Xanthine M+H	HMDB	temp/specs_ms.mgf122	-1	HMDB.mgf	6436.19				6	0	0.985001	152.056	0	CCMSLIB00000425870
