cluster index	number of spectra	parent mass	RTMean_min	Compound_Name	MQScore	MZErrorPPM	SharedPeaks	Adduct	LibraryName	npclassifier_pathway	npclassifier_class
4	36	110.00889068179656	1.7703032407407406								
5	108	110.00889068179652	1.999545679012346								
11	131	117.0728418019039	3.4709433630195083								
13	56	117.07286763785908	3.7066591765873014								
14	24	117.07308912277222	4.975471875								
18	45	117.07292509936778	6.229347407407408								
19	70	118.08644343239908	2.7079271428571428	Carboxy-N,N,N-trimethylmethanaminium - 40.0 eV	0.900989	1.29218	7.0	M	BIRMINGHAM-UHPLC-MS-POS.mgf		
20	86	118.08638586542077	2.7468676356589152								
21	20	118.0860794067382	2.7768541666666664								
29	55	120.08084286041388	5.267207575757576								
30	12	120.08511670430508	4.6958472222222225								
32	22	120.08300022934426	4.746149242424243								
33	12	120.08511670430508	4.692661111111111								
35	21	120.08304407028928	4.718213492063493								
36	35	120.08098973247456	5.25252761904762								
